Period,ISIN,Weights,Start Date,End Date,Country
5,US5024311095,3.4255141295712600000%,09/29/2017,03/29/2018,United States
5,US5398301094,8.0000000000000000000%,09/29/2017,03/29/2018,United States
5,US54142L1098,2.4561879858125400000%,09/29/2017,03/29/2018,United States
5,US5645631046,0.1497038950035770000%,09/29/2017,03/29/2018,United States
5,GB00BYT5JK65,0.2661037819797310000%,09/29/2017,03/29/2018,Jersey
5,US6153942023,0.2464039051931620000%,09/29/2017,03/29/2018,United States
5,US6668071029,6.9960636343353300000%,09/29/2017,03/29/2018,United States
5,US68557N1037,1.6963583063744200000%,09/29/2017,03/29/2018,United States
5,US6792951054,0.0903137190816418000%,09/29/2017,03/29/2018,United States
5,US6974351057,7.7638893496298200000%,09/29/2017,03/29/2018,United States
5,US7434241037,2.0923147230280300000%,09/29/2017,03/29/2018,United States
5,US74758T3032,0.3695167370116010000%,09/29/2017,03/29/2018,United States
5,IL0010834765,0.1083907518169550000%,09/29/2017,03/29/2018,Israel
5,US7534221046,0.1266327204015540000%,09/29/2017,03/29/2018,United States
5,US7551115071,8.0000000000000000000%,09/29/2017,03/29/2018,United States
5,US7743411016,8.0000000000000000000%,09/29/2017,03/29/2018,United States
5,US8086251076,0.9393748455544640000%,09/29/2017,03/29/2018,United States
5,US6687711084,8.0000000000000000000%,09/29/2017,03/29/2018,United States
5,US8936411003,5.8798470638403200000%,09/29/2017,03/29/2018,United States
5,US8968181011,0.9016088912708290000%,09/29/2017,03/29/2018,United States
5,US9222801022,0.3920924303176260000%,09/29/2017,03/29/2018,United States
5,US92343X1000,0.6764907666010130000%,09/29/2017,03/29/2018,United States
5,US68287N1000,0.0749956117535722000%,09/29/2017,03/29/2018,United States
6,US0021211018,0.1095676060594290000%,03/29/2018,09/28/2018,United States
6,US0003611052,0.3258112444062830000%,03/29/2018,09/28/2018,United States
6,US0078001056,0.7979344842992480000%,03/29/2018,09/28/2018,United States
6,US05464C1018,0.8114855578167280000%,03/29/2018,09/28/2018,United States
6,US0995021062,1.1003991030178300000%,03/29/2018,09/28/2018,United States
6,US1271903049,0.7296469147266720000%,03/29/2018,09/28/2018,United States
6,CA1247651088,0.1671022500306190000%,03/29/2018,09/28/2018,Canada
6,US1413371055,0.2593871527755350000%,03/29/2018,09/28/2018,United States
6,IL0010824113,3.8546487992010300000%,03/29/2018,09/28/2018,Israel
6,US12650T1043,3.1413542958497000000%,03/29/2018,09/28/2018,United States
6,US2296691064,0.3131289901438480000%,03/29/2018,09/28/2018,United States
6,US2315611010,0.8742593634086200000%,03/29/2018,09/28/2018,United States
6,IL0011334468,0.7546848097886330000%,03/29/2018,09/28/2018,Israel
6,IL0010811243,0.1028249691774450000%,03/29/2018,09/28/2018,Israel
6,US29286C1071,0.1486668021103660000%,03/29/2018,09/28/2018,United States
6,US2974251009,0.6669138577962360000%,03/29/2018,09/28/2018,United States
6,US31816Q1013,1.9822689013841700000%,03/29/2018,09/28/2018,United States
6,US3024451011,1.7266153331438500000%,03/29/2018,09/28/2018,United States
6,US34959E1091,2.0661914031643900000%,03/29/2018,09/28/2018,United States
6,US3695501086,8.0000000000000000000%,03/29/2018,09/28/2018,United States
6,US4464131063,3.9999463755735400000%,03/29/2018,09/28/2018,United States
6,US45321L1008,0.5659482575299650000%,03/29/2018,09/28/2018,United States
6,US4835481031,0.2816740078157090000%,03/29/2018,09/28/2018,United States
6,US50077B2079,0.7201391556995990000%,03/29/2018,09/28/2018,United States
6,US5024131071,4.0689288258156500000%,03/29/2018,09/28/2018,United States
6,US5024311095,3.6130568941715500000%,03/29/2018,09/28/2018,United States
6,US5398301094,8.0000000000000000000%,03/29/2018,09/28/2018,United States
6,US54142L1098,2.2991462452233200000%,03/29/2018,09/28/2018,United States
6,US5645631046,0.2379760043638570000%,03/29/2018,09/28/2018,United States
6,GB00BYT5JK65,0.2742312934129110000%,03/29/2018,09/28/2018,Jersey
6,US6153942023,0.3424665447543640000%,03/29/2018,09/28/2018,United States
6,US6668071029,8.0000000000000000000%,03/29/2018,09/28/2018,United States
6,US68557N1037,2.3932030566671900000%,03/29/2018,09/28/2018,United States
6,US6792951054,0.4745905461863170000%,03/29/2018,09/28/2018,United States
6,US6974351057,7.6272184634887800000%,03/29/2018,09/28/2018,United States
6,US7434241037,1.8960440680927100000%,03/29/2018,09/28/2018,United States
6,US74758T3032,0.5384755930652150000%,03/29/2018,09/28/2018,United States
6,IL0010834765,0.0952156071579474000%,03/29/2018,09/28/2018,Israel
6,US7534221046,0.2284528104618440000%,03/29/2018,09/28/2018,United States
6,US7551115071,8.0000000000000000000%,03/29/2018,09/28/2018,United States
6,US7743411016,5.6212636552673600000%,03/29/2018,09/28/2018,United States
6,US8086251076,0.7240012623240450000%,03/29/2018,09/28/2018,United States
6,US6687711084,5.8426005418854100000%,03/29/2018,09/28/2018,United States
6,US8936411003,4.6085783799984700000%,03/29/2018,09/28/2018,United States
6,US8968181011,0.5020671166048830000%,03/29/2018,09/28/2018,United States
6,US9222801022,0.5301873494781880000%,03/29/2018,09/28/2018,United States
6,US92343X1000,0.5138210644852820000%,03/29/2018,09/28/2018,United States
6,US68287N1000,0.0678750421752711000%,03/29/2018,09/28/2018,United States
7,US0021211018,0.0466478052521199000%,09/28/2018,03/29/2019,United States
7,US0003611052,0.3502003392781210000%,09/28/2018,03/29/2019,United States
7,US0078001056,0.7142725681342500000%,09/28/2018,03/29/2019,United States
7,US05464C1018,1.9650559911581200000%,09/28/2018,03/29/2019,United States
7,US0995021062,1.4469801437716300000%,09/28/2018,03/29/2019,United States
7,US1271903049,0.8333480243809140000%,09/28/2018,03/29/2019,United States
7,CA1247651088,0.1116368512999010000%,09/28/2018,03/29/2019,Canada
7,US1413371055,0.4983523111742660000%,09/28/2018,03/29/2019,United States
7,IL0010824113,3.6662830569427600000%,09/28/2018,03/29/2019,Israel
7,US2296691064,0.3638032006394340000%,09/28/2018,03/29/2019,United States
7,US2315611010,1.2267054012745100000%,09/28/2018,03/29/2019,United States
7,IL0011334468,0.9154617437178340000%,09/28/2018,03/29/2019,Israel
7,IL0010811243,0.0922904379618938000%,09/28/2018,03/29/2019,Israel
7,US29286C1071,0.0967106460284581000%,09/28/2018,03/29/2019,United States
7,US2974251009,0.5254691320123820000%,09/28/2018,03/29/2019,United States
7,US31816Q1013,2.0545770189973600000%,09/28/2018,03/29/2019,United States
7,US3024451011,1.7833523766149300000%,09/28/2018,03/29/2019,United States
7,US34553D1019,0.6228656154839370000%,09/28/2018,03/29/2019,United States
7,US34959E1091,3.0714865774061900000%,09/28/2018,03/29/2019,United States
7,US3695501086,8.0000000000000000000%,09/28/2018,03/29/2019,United States
7,US4464131063,3.0013284629911100000%,09/28/2018,03/29/2019,United States
7,US45321L1008,0.5272181110922970000%,09/28/2018,03/29/2019,United States
7,US4835481031,0.3759875665904730000%,09/28/2018,03/29/2019,United States
7,US50077B2079,0.4944446794797190000%,09/28/2018,03/29/2019,United States
7,US5024131071,4.5588285504064400000%,09/28/2018,03/29/2019,United States
7,US5024311095,3.8010973999022900000%,09/28/2018,03/29/2019,United States
7,US5398301094,8.0000000000000000000%,09/28/2018,03/29/2019,United States
7,US54142L1098,2.3888029283994200000%,09/28/2018,03/29/2019,United States
7,US5645631046,0.2491701579322870000%,09/28/2018,03/29/2019,United States
7,GB00BYT5JK65,0.3974843376159320000%,09/28/2018,03/29/2019,Jersey
7,US60739U2042,0.0607022820680111000%,09/28/2018,03/29/2019,United States
7,US6153942023,0.3001881304711470000%,09/28/2018,03/29/2019,United States
7,US6668071029,8.0000000000000000000%,09/28/2018,03/29/2019,United States
7,US6792951054,3.3828635079294300000%,09/28/2018,03/29/2019,United States
7,US68287N1000,0.1008124218253010000%,09/28/2018,03/29/2019,United States
7,US6974351057,8.0000000000000000000%,09/28/2018,03/29/2019,United States
7,US7434241037,3.0919483241998300000%,09/28/2018,03/29/2019,United States
7,US74758T3032,0.8507204528819400000%,09/28/2018,03/29/2019,United States
7,IL0010834765,0.1675925200867400000%,09/28/2018,03/29/2019,Israel
7,US7534221046,0.4496442123310900000%,09/28/2018,03/29/2019,United States
7,US7551115071,8.0000000000000000000%,09/28/2018,03/29/2019,United States
7,US78781P1057,0.9470672284513530000%,09/28/2018,03/29/2019,United States
7,US8086251076,0.8669102153431870000%,09/28/2018,03/29/2019,United States
7,US6687711084,6.7431696853763500000%,09/28/2018,03/29/2019,United States
7,US8936411003,4.1776373490971800000%,09/28/2018,03/29/2019,United States
7,US8968181011,0.5007928028355180000%,09/28/2018,03/29/2019,United States
7,US9222801022,0.9451562456221790000%,09/28/2018,03/29/2019,United States
7,US92343X1000,0.5654592500574170000%,09/28/2018,03/29/2019,United States
7,US98980G1022,0.6694739354843490000%,09/28/2018,03/29/2019,United States
8,US0021211018,0.0549973842386759000%,03/29/2019,09/30/2019,United States
8,US0003611052,0.3575754194633670000%,03/29/2019,09/30/2019,United States
8,US0078001056,0.8950297517946090000%,03/29/2019,09/30/2019,United States
8,US05464C1018,1.0808057594806100000%,03/29/2019,09/30/2019,United States
8,US0995021062,1.7956662979150200000%,03/29/2019,09/30/2019,United States
8,US1271903049,1.1946981725829000000%,03/29/2019,09/30/2019,United States
8,CA1247651088,0.1060506642539940000%,03/29/2019,09/30/2019,Canada
8,US1413371055,0.4084901121717710000%,03/29/2019,09/30/2019,United States
8,IL0010824113,2.7912519269668700000%,03/29/2019,09/30/2019,Israel
8,US2296691064,0.5043997809869740000%,03/29/2019,09/30/2019,United States
8,US2315611010,1.0165099561632000000%,03/29/2019,09/30/2019,United States
8,IL0011334468,2.0462436923179600000%,03/29/2019,09/30/2019,Israel
8,IL0010811243,0.0284456134992133000%,03/29/2019,09/30/2019,Israel
8,US31816Q1013,2.5231807615416100000%,03/29/2019,09/30/2019,United States
8,US3024451011,1.5791103289072000000%,03/29/2019,09/30/2019,United States
8,US34553D1019,0.4947057617027580000%,03/29/2019,09/30/2019,United States
8,US34959E1091,4.7513551631584600000%,03/29/2019,09/30/2019,United States
8,US3695501086,8.0000000000000000000%,03/29/2019,09/30/2019,United States
8,US4464131063,2.6474474209314400000%,03/29/2019,09/30/2019,United States
8,US4835481031,0.2915873011741850000%,03/29/2019,09/30/2019,United States
8,US50077B2079,0.5189528823888140000%,03/29/2019,09/30/2019,United States
8,US5024131071,4.4743505069470900000%,03/29/2019,09/30/2019,United States
8,US5024311095,5.2304075622906300000%,03/29/2019,09/30/2019,United States
8,US5398301094,8.0000000000000000000%,03/29/2019,09/30/2019,United States
8,US54142L1098,2.1051358650476300000%,03/29/2019,09/30/2019,United States
8,US5645631046,0.1653709826132520000%,03/29/2019,09/30/2019,United States
8,GB00BYT5JK65,0.6290174598883990000%,03/29/2019,09/30/2019,Jersey
8,US60739U2042,0.0687870966038462000%,03/29/2019,09/30/2019,United States
8,US6153942023,0.3810334768721660000%,03/29/2019,09/30/2019,United States
8,US6668071029,8.0000000000000000000%,03/29/2019,09/30/2019,United States
8,US6792951054,3.9901708980360600000%,03/29/2019,09/30/2019,United States
8,US68287N1000,0.1058390087063540000%,03/29/2019,09/30/2019,United States
8,US6974351057,8.0000000000000000000%,03/29/2019,09/30/2019,United States
8,US7434241037,2.3762527465667100000%,03/29/2019,09/30/2019,United States
8,US74758T3032,0.8485413918474240000%,03/29/2019,09/30/2019,United States
8,IL0010834765,0.1341711382891440000%,03/29/2019,09/30/2019,Israel
8,US7534221046,0.6588995509509430000%,03/29/2019,09/30/2019,United States
