S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Currency,Country,TAX,Share PR,Share TR,Share NTR,Local Price,USD PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Special Dividend,Split,Spin
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8875G1029,HKD,Cayman Islands,0%,2052.733557,2052.733557,2052.733557,12.5,1.593838857,3271.726505,3271.726505,3271.726505,7.8427,08-23-2019,0.031952573,0.031952573,0.031952573,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100001QV5,HKD,China (Mainland),,1212.934169,1212.934169,1212.934169,21.1,2.69039999,3263.278075,3263.278075,3263.278075,7.8427,08-23-2019,0.031870063,0.031870063,0.031870063,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8406X1034,HKD,Cayman Islands,0%,3708.163844,3708.163844,3708.163844,7.03,0.896374973,3323.905266,3323.905266,3323.905266,7.8427,08-23-2019,0.032462165,0.032462165,0.032462165,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG3825B1059,HKD,Cayman Islands,0%,1408.111215,1408.111215,1408.111215,17.84,2.274726816,3203.06834,3203.06834,3203.06834,7.8427,08-23-2019,0.031282038,0.031282038,0.031282038,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG608371046,HKD,Cayman Islands,0%,4098.813196,4098.813196,4098.813196,6.2,0.790544073,3240.292478,3240.292478,3240.292478,7.8427,08-23-2019,0.031645579,0.031645579,0.031645579,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,BMG8162K1137,HKD,Bermuda,0%,18459.61855,18459.61855,18459.61855,1.43,0.182335165,3365.837598,3365.837598,3365.837598,7.8427,08-23-2019,0.032871687,0.032871687,0.032871687,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8813K1085,HKD,Cayman Islands,0%,6035.722534,6035.722534,6035.722534,4.2,0.535529856,3232.309618,3232.309618,3232.309618,7.8427,08-23-2019,0.031567616,0.031567616,0.031567616,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,BMG570071099,HKD,Bermuda,0%,4300.965548,4300.965548,4300.965548,6.11,0.779068433,3350.74649,3350.74649,3350.74649,7.8427,08-23-2019,0.032724303,0.032724303,0.032724303,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,BMG0171K1018,HKD,Bermuda,0%,3855.133753,3855.133753,3855.133753,7.32,0.933352034,3598.196931,3598.196931,3598.196931,7.8427,08-23-2019,0.035140972,0.035140972,0.035140972,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,HK0000311099,HKD,Hong Kong,0%,3099.225174,3099.225174,3099.225174,8.31,1.059584072,3283.889629,3283.889629,3283.889629,7.8427,08-23-2019,0.032071361,0.032071361,0.032071361,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG368441195,HKD,Cayman Islands,0%,6835.047951,6835.047951,6835.047951,3.74,0.476876586,3259.474331,3259.474331,3259.474331,7.8427,08-23-2019,0.031832914,0.031832914,0.031832914,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG2133W1087,HKD,Cayman Islands,0%,4540.337059,4540.337059,4540.337059,5.6,0.714039808,3241.981401,3241.981401,3241.981401,7.8427,08-23-2019,0.031662074,0.031662074,0.031662074,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,US98887Q1040,USD,Cayman Islands,0%,85.67879022,85.67879022,85.67879022,36.88,36.88,3159.833783,3159.833783,3159.833783,1,08-23-2019,0.030859798,0.030859798,0.030859798,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100003F19,HKD,China (Mainland),,301.9662975,301.9662975,301.9662975,87.4,11.14412128,3365.149044,3365.149044,3365.149044,7.8427,08-23-2019,0.032864963,0.032864963,0.032864963,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG4818G1010,HKD,Cayman Islands,0%,1055.936427,1055.936427,1055.936427,24.9,3.174927002,3352.521074,3352.521074,3352.521074,7.8427,08-23-2019,0.032741634,0.032741634,0.032741634,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG711391022,HKD,Cayman Islands,0%,558.2710247,558.2710247,558.2710247,48.35,6.164968697,3441.723392,3441.723392,3441.723392,7.8427,08-23-2019,0.033612808,0.033612808,0.033612808,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100003F01,HKD,China (Mainland),,734.0980383,734.0980383,734.0980383,33.4,4.258737425,3126.330789,3126.330789,3126.330789,7.8427,08-23-2019,0.030532598,0.030532598,0.030532598,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG2588M1006,HKD,Cayman Islands,0%,2464.88084,2464.88084,2464.88084,10.06,1.282721512,3161.755677,3161.755677,3161.755677,7.8427,08-23-2019,0.030878567,0.030878567,0.030878567,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000387,HKD,China (Mainland),,772.2038907,772.2038907,772.2038907,32.15,4.099353539,3165.536752,3165.536752,3165.536752,7.8427,08-23-2019,0.030915494,0.030915494,0.030915494,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,US07725L1026,USD,Cayman Islands,0%,22.41077151,22.41077151,22.41077151,142.73,142.73,3198.689418,3198.689418,3198.689418,1,08-23-2019,0.031239272,0.031239272,0.031239272,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000FN7,HKD,China (Mainland),,876.5919383,876.5919383,876.5919383,29.3,3.73595828,3274.91091,3274.91091,3274.91091,7.8427,08-23-2019,0.031983672,0.031983672,0.031983672,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000585,HKD,China (Mainland),,2982.273281,2982.273281,2982.273281,8.9,1.134813266,3384.323281,3384.323281,3384.323281,7.8427,08-23-2019,0.033052223,0.033052223,0.033052223,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100001M79,HKD,China (Mainland),,1119.012275,1119.012275,1119.012275,23.7,3.021918472,3381.563865,3381.563865,3381.563865,7.8427,08-23-2019,0.033025274,0.033025274,0.033025274,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE1000012B3,HKD,China (Mainland),,1706.455966,1706.455966,1706.455966,15.08,1.922807197,3281.185812,3281.185812,3281.185812,7.8427,08-23-2019,0.032044955,0.032044955,0.032044955,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,HK1093012172,HKD,Hong Kong,0%,1665.986655,1665.986655,1665.986655,15.7,2.001861604,3335.074717,3335.074717,3335.074717,7.8427,08-23-2019,0.032571248,0.032571248,0.032571248,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE1000023R6,HKD,China (Mainland),,667.2738105,667.2738105,667.2738105,39,4.972777232,3318.204013,3318.204013,3318.204013,7.8427,08-23-2019,0.032406485,0.032406485,0.032406485,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,HK0000056256,HKD,Hong Kong,0%,7416.327689,7416.327689,7416.327689,3.83,0.488352226,3621.780133,3621.780133,3621.780133,7.8427,08-23-2019,0.035371292,0.035371292,0.035371292,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG211081248,HKD,Cayman Islands,0%,2678.991252,2678.991252,2678.991252,9.81,1.250844735,3351.002102,3351.002102,3351.002102,7.8427,08-23-2019,0.0327268,0.0327268,0.0327268,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000171,HKD,China (Mainland),,3532.077852,3532.077852,3532.077852,7.2,0.918051181,3242.628245,3242.628245,3242.628245,7.8427,08-23-2019,0.031668391,0.031668391,0.031668391,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8167W1380,HKD,Cayman Islands,0%,2394.855816,2394.855816,2394.855816,10.78,1.37452663,3291.793094,3291.793094,3291.793094,7.8427,08-23-2019,0.032148548,0.032148548,0.032148548,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG970081090,HKD,Cayman Islands,0%,305.6154371,305.6154371,305.6154371,84.8,10.8126028,3304.498332,3304.498332,3304.498332,7.8427,08-23-2019,0.032272631,0.032272631,0.032272631,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8875G1029,HKD,Cayman Islands,0%,2052.733557,2052.733557,2052.733557,12.5,1.593838857,3271.726505,3271.726505,3271.726505,7.8427,08-23-2019,0.031952573,0.031952573,0.031952573,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100001QV5,HKD,China (Mainland),,1212.934169,1212.934169,1212.934169,21.1,2.69039999,3263.278075,3263.278075,3263.278075,7.8427,08-23-2019,0.031870063,0.031870063,0.031870063,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8406X1034,HKD,Cayman Islands,0%,3708.163844,3708.163844,3708.163844,7.03,0.896374973,3323.905266,3323.905266,3323.905266,7.8427,08-23-2019,0.032462165,0.032462165,0.032462165,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG3825B1059,HKD,Cayman Islands,0%,1408.111215,1408.111215,1408.111215,17.84,2.274726816,3203.06834,3203.06834,3203.06834,7.8427,08-23-2019,0.031282038,0.031282038,0.031282038,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG608371046,HKD,Cayman Islands,0%,4098.813196,4098.813196,4098.813196,6.2,0.790544073,3240.292478,3240.292478,3240.292478,7.8427,08-23-2019,0.031645579,0.031645579,0.031645579,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,BMG8162K1137,HKD,Bermuda,0%,18459.61855,18459.61855,18459.61855,1.43,0.182335165,3365.837598,3365.837598,3365.837598,7.8427,08-23-2019,0.032871687,0.032871687,0.032871687,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8813K1085,HKD,Cayman Islands,0%,6035.722534,6035.722534,6035.722534,4.2,0.535529856,3232.309618,3232.309618,3232.309618,7.8427,08-23-2019,0.031567616,0.031567616,0.031567616,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,BMG570071099,HKD,Bermuda,0%,4300.965548,4300.965548,4300.965548,6.11,0.779068433,3350.74649,3350.74649,3350.74649,7.8427,08-23-2019,0.032724303,0.032724303,0.032724303,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,BMG0171K1018,HKD,Bermuda,0%,3855.133753,3855.133753,3855.133753,7.32,0.933352034,3598.196931,3598.196931,3598.196931,7.8427,08-23-2019,0.035140972,0.035140972,0.035140972,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,HK0000311099,HKD,Hong Kong,0%,3099.225174,3099.225174,3099.225174,8.31,1.059584072,3283.889629,3283.889629,3283.889629,7.8427,08-23-2019,0.032071361,0.032071361,0.032071361,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG368441195,HKD,Cayman Islands,0%,6835.047951,6835.047951,6835.047951,3.74,0.476876586,3259.474331,3259.474331,3259.474331,7.8427,08-23-2019,0.031832914,0.031832914,0.031832914,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG2133W1087,HKD,Cayman Islands,0%,4540.337059,4540.337059,4540.337059,5.6,0.714039808,3241.981401,3241.981401,3241.981401,7.8427,08-23-2019,0.031662074,0.031662074,0.031662074,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,US98887Q1040,USD,Cayman Islands,0%,85.67879022,85.67879022,85.67879022,36.88,36.88,3159.833783,3159.833783,3159.833783,1,08-23-2019,0.030859798,0.030859798,0.030859798,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100003F19,HKD,China (Mainland),,301.9662975,301.9662975,301.9662975,87.4,11.14412128,3365.149044,3365.149044,3365.149044,7.8427,08-23-2019,0.032864963,0.032864963,0.032864963,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG4818G1010,HKD,Cayman Islands,0%,1055.936427,1055.936427,1055.936427,24.9,3.174927002,3352.521074,3352.521074,3352.521074,7.8427,08-23-2019,0.032741634,0.032741634,0.032741634,,,,
1,08-24-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG711391022,HKD,Cayman Islands,0%,558.2710247,558.2710247,558.2710247,48.35,6.164968697,3441.723392,3441.723392,3441.723392,7.8427,08-23-2019,0.033612808,0.033612808,0.033612808,,,,
