SPY US EQUITY,US78462F1030,2004-09-17,DVD_CASH,0.46878,USD,2004-09-21,2004-10-29,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2004-06-18,DVD_CASH,0.41376,USD,2004-06-22,2004-07-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2004-03-19,DVD_CASH,0.39476,USD,2004-03-23,2004-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2003-12-19,DVD_CASH,0.51559,USD,2003-12-23,2004-01-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2003-09-19,DVD_CASH,0.40006,USD,2003-09-23,2003-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2003-06-20,DVD_CASH,0.36025,USD,2003-06-24,2003-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2003-03-21,DVD_CASH,0.35438,USD,2003-03-25,2003-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2002-12-20,DVD_CASH,0.43584,USD,2002-12-24,2003-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2002-09-20,DVD_CASH,0.3781,USD,2002-09-24,2002-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2002-06-21,DVD_CASH,0.35337,USD,2002-06-25,2002-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2002-03-15,DVD_CASH,0.33098,USD,2002-03-19,2002-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2001-12-21,DVD_CASH,0.39277,USD,2001-12-26,2002-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2001-09-21,DVD_CASH,0.369,USD,2001-09-25,2001-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2001-06-15,DVD_CASH,0.34644,USD,2001-06-19,2001-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2001-03-16,DVD_CASH,0.31551,USD,2001-03-20,2001-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2000-12-15,DVD_CASH,0.41133,USD,2000-12-19,2001-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2000-09-15,DVD_CASH,0.375319,USD,2000-09-19,2000-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2000-06-16,DVD_CASH,0.348408,USD,2000-06-20,2000-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2000-03-17,DVD_CASH,0.370823,USD,2000-03-21,2000-04-28,EDI,1000,Quarterly
