ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Weight,Cap,Excess Weight,Total Weight,Cap 2,Excess Weight 2,Total Weight 2
US19626G3065,259,,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",1.3671554252199414,0,0.0,0.0,0,0,0
US19626G5045,298,,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",1.5730205278592375,0,0.0,0.0,0,0,0
US19626G6035,326,,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",1.7208211143695014,0,0.0,0.0,0,0,0
US19626G7025,273,,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",1.4410557184750734,0,0.0,0.0,0,0,0
US23317H6071,200,,,,,,,,,,,,,REITS-Shopping Centers,,DDR Corp.,1.055718475073314,0,0.0,0.0,0,0,0
US23317H8705,180,,,,,,,,,,,,,REITS-Shopping Centers,,DDR Corp.,0.9501466275659824,0,0.0,0.0,0,0,0
US2538688480,214,,,,,,,,,,,,,REITS-Diversified,,"Digital Realty Trust, Inc.",1.1296187683284458,0,0.0,0.0,0,0,0
US2538688555,196,,,,,,,,,,,,,REITS-Diversified,,"Digital Realty Trust, Inc.",1.0346041055718476,0,0.0,0.0,0,0,0
US2538688639,264,,,,,,,,,,,,,REITS-Diversified,,"Digital Realty Trust, Inc.",1.393548387096774,0,0.0,0.0,0,0,0
US26884U5056,145,,,,,,,,,,,,,REITS-Diversified,,EPR Properties,0.7653958944281525,0,0.0,0.0,0,0,0
US31154R2085,144,,,,,,,,,,,,,REITS-Farmlands,,"Farmland Partners, Inc.",0.7601173020527859,0,0.0,0.0,0,0,0
US3137477010,147,,,,,,,,,,,,,REITS-Shopping Centers,,Federal Realty Investment Trust,0.7759530791788857,0,0.0,0.0,0,0,0
US36174X2009,242,,,,,,,,,,,,,REITS-Shopping Centers,,"GGP, Inc.",1.2774193548387098,0,0.0,0.0,0,0,0
US3793783008,137,,,,,,,,,,,,,REITS-Diversified,,"Global Net Lease, Inc.",0.72316715542522,0,0.0,0.0,0,0,0
