ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US38000Q1022,,,g,,,,,,,,,,,,6.0,0.016666666666666666
US29251M1062,,,b,,,,,,,,,,,,20.0,0.005
US23257D1037,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US04351P1012,,,b,,,,,,,,,,,,20.0,0.005
US4831191030,,,b,,,,,,,,,,,,20.0,0.005
US23284F1057,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US05463X1063,,,c,,,,,,,,,,,,11.0,0.009090909090909092
NL0010696654,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US09058V1035,,,b,,,,,,,,,,,,20.0,0.005
US00461U1051,,,b,,,,,,,,,,,,20.0,0.005
IL0011407140,,,b,,,,,,,,,,,,20.0,0.005
US29428V1044,,,g,,,,,,,,,,,,6.0,0.016666666666666666
US0453961080,,,b,,,,,,,,,,,,20.0,0.005
US50127T1097,,,b,,,,,,,,,,,,20.0,0.005
US4811161011,,,b,,,,,,,,,,,,20.0,0.005
US48283N1063,,,b,,,,,,,,,,,,20.0,0.005
CA05156V1022,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US92915B1061,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US00972L1070,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US7612991064,,,c,,,,,,,,,,,,11.0,0.009090909090909092
SG9999014716,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US24344T1016,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US00448Q2012,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US5560991094,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US98419J2069,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US00653A1079,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US00972D1054,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US67022C1062,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US2530311081,,,g,,,,,,,,,,,,6.0,0.016666666666666666
US7207951036,,,h,,,,,,,,,,,,3.0,0.03333333333333333
US87164F1057,,,h,,,,,,,,,,,,3.0,0.03333333333333333
US00739L1017,,,h,,,,,,,,,,,,3.0,0.03333333333333333
US13089P1012,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US87184Q1076,,,a,,,,,,,,,,,,19.0,0.005263157894736842
IE00BYZ5XL97,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US74366E1029,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US8162121045,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US21887L1070,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US01345P1066,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US16383L1061,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US8051111016,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US03753U1060,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US58549G2093,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US76243J1051,,,j,,,,,,,,,,,,3.0,0.03333333333333333
US14888U1016,,,j,,,,,,,,,,,,3.0,0.03333333333333333
US0396971071,,,j,,,,,,,,,,,,3.0,0.03333333333333333
US3621LQ1099,,,e,,,,,,,,,,,,9.0,0.011111111111111112
IL0011327454,,,e,,,,,,,,,,,,9.0,0.011111111111111112
NL0012661870,,,e,,,,,,,,,,,,9.0,0.011111111111111112
US98887Q1040,,,i,,,,,,,,,,,,3.0,0.03333333333333333
US81750R1023,,,i,,,,,,,,,,,,3.0,0.03333333333333333
US6085501095,,,i,,,,,,,,,,,,3.0,0.03333333333333333
US59045L1061,,,e,,,,,,,,,,,,9.0,0.011111111111111112
US68404V1008,,,e,,,,,,,,,,,,9.0,0.011111111111111112
IE00BYQMW233,,,e,,,,,,,,,,,,9.0,0.011111111111111112
US14757U1097,,,e,,,,,,,,,,,,9.0,0.011111111111111112
