ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Product,Weight,Cap
US69007J1060,,372952.3496,,,,,,,,,,,,,,0.079610951,,,,29691.09122934047,0.5428189702158045,0
US63633D1046,,337326.4523,,,,,,,,,,,,,,0.084521817,,,,28511.444670559828,0.5212524159484035,0
US9840171030,,242258.2402,,,,,,,,,,,,,,0.115561556,,,,27995.73919133375,0.5118241765143635,0
US74039L1035,,65110.50426,,,,,,,,,,,,,,0.41828839799999995,,,,27234.968519887574,0.4979156020785168,0
US20369C1062,,70156.69019,,,,,,,,,,,,,,0.351324874,,,,24647.790341258784,0.4506162494262203,0
US35086T1097,,194888.1096,,,,,,,,,,,,,,0.11857506400000001,,,,23108.870068659016,0.4224813751919133,0
US27616P1030,,125236.4145,,,,,,,,,,,,,,0.179011107,,,,22418.709196355852,0.4098637044201285,0
US67623C1099,,126461.5757,,,,,,,,,,,,,,0.154063753,,,,19483.1449626356,0.35619508233945163,0
US65341D1028,,87292.16958,,,,,,,,,,,,,,0.172006212,,,,15014.79542671743,0.27450374688410434,0
US1652401027,,170847.24300000002,,,,,,,,,,,,,,0.082584007,,,,14109.249911842702,0.2579483673572617,0
US3742971092,,106734.1491,,,,,,,,,,,,,,0.12361361900000001,,,,13193.794441136593,0.24121181186831908,0
US9030021037,,46598.18191,,,,,,,,,,,,,,0.265112089,,,,12353.74134976211,0.22585377903401602,0
US04208T1088,,89319.79107,,,,,,,,,,,,,,0.10550832199999999,,,,9423.981277186283,0.17229126988637503,0
