ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,ans
US67067Y1047,217.76604,,,,0.722286441,,,CEF,,,0.23980497232269504,,,,1.6268843853804968,1
US38173M1027,2390.225408,,,,5.189554649,,,BDC,,,0.237804872727273,,,,1.6133153139409802,1
US83413U1007,868.459968,,,,1.7496159580000001,,,BDC,,,0.236982968467153,,,,1.6077393528000763,1
US1405011073,378.44592,,,,1.546851561,,,BDC,,,0.23069634912363804,,,,1.565089683163399,1
US09256U1051,250.71697999999998,,,,0.8232659109999999,,,CEF,,,0.2288063390743,,,,1.5522674809892814,1
US46132R1041,823.9252799999999,,,,2.37094655,,,CEF,,,0.228687052095324,,,,1.5514582145191342,1
US09255R2022,541.85908,,,,1.5950869030000001,,,CEF,,,0.228201099059041,,,,1.5481614129595187,1
US67401P1084,737.224192,,,,1.76012006,,,BDC,,,0.21510516042064998,,,,1.459315973783097,1
US27828Q1058,476.81312,,,,1.528390526,,,CEF,,,0.21476043271251902,,,,1.456977272795648,1
US06759X1072,339.2232,,,,0.276826367,,,CEF,,,0.21352314021352306,,,,1.4485832356442572,1
US72369J1025,262.2228,,,,0.810609667,,,CEF,,,0.211603769818868,,,,1.4355618470776181,1
US56035L1044,2708.87296,,,,10.09200202,,,BDC,,,0.20065558368063696,,,,1.361287185864342,1
US09249W1018,575.9680000000001,,,,1.465810485,,,CEF,,,0.199731244225,,,,1.3550162840869455,1
US2782791048,530.58984,,,,1.4092311519999998,,,CEF,,,0.199248684883546,,,,1.3517425060246018,1
US3765461070,460.17087999999995,,,,1.503944304,,,BDC,,,0.19529244388730396,,,,1.3249025842362943,1
US33733U1088,321.69885,,,,0.949868522,,,CEF,,,0.19369709423236497,,,,1.314079416485837,1
US46131H1077,754.3508400000001,,,,1.929184882,,,CEF,,,0.188186158353222,,,,1.2766921369654345,1
US92913A1007,846.0034800000001,,,,1.880328503,,,CEF,,,0.18724637846790898,,,,1.270316484257729,1
US0919411043,289.5984,,,,0.832544045,,,CEF,,,0.185256408701923,,,,1.25681613558562,1
US27826S1033,236.66875,,,,0.607052048,,,CEF,,,0.184160000592,,,,1.2493778860082176,1
US05588N1081,132.70407,,,,0.260941123,,,CEF,,,0.146110488568207,,,,0.9912424671164138,1
US33740K1016,326.42952,,,,0.822611823,,,CEF,,,0.141437985532382,,,,0.9595432819160439,1
US05684B1070,976.69792,,,,2.973457383,,,BDC,,,0.0867265988365944,,,,0.5883704081604682,1
US73688F1021,76.61241600000001,,,,0.218908643,,,BDC,,,0.912035123609756,,,,1.0,0
US58503F1066,106.769456,,,,0.32285404300000003,,,BDC,,,0.729591829438776,,,,1.0,0
US3665541039,90.19736,,,,0.21109518300000002,,,BDC,,,0.562277584341637,,,,1.0,0
US46090R1041,96.056472,,,,0.210122699,,,BDC,,,0.439943261134752,,,,1.0,0
US8724381061,204.12540800000002,,,,0.532369599,,,BDC,,,0.454005946290801,,,,1.0,0
US14054R1068,138.301008,,,,1.078863267,,,BDC,,,0.3956140347953219,,,,1.0,0
US6103351010,226.730208,,,,1.144921455,,,BDC,,,0.378719560685302,,,,1.0,0
US67103B1008,159.521408,,,,0.470415739,,,BDC,,,0.37300922732606906,,,,1.0,0
US01374T1025,116.13760800000001,,,,0.373820799,,,BDC,,,0.338137480266075,,,,1.0,0
US44045A1025,183.89008,,,,0.8628597,,,BDC,,,0.285261492551506,,,,1.0,0
