ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,Weight,Cap
US0396971071,,4.1609360010000005,,,,,,,,,,,,,,0.011764705882352941,0.5189452517769186,0
US68404V1008,,3.806861227,,,,,,,,,,,,,,0.011764705882352941,0.47478561493147664,0
IL0011407140,,3.731170214,,,,,,,,,,,,,,0.011764705882352941,0.4653455534190922,0
US4811161011,,3.336156807,,,,,,,,,,,,,,0.011764705882352941,0.41608011605076733,0
US87184Q1076,,3.313127187,,,,,,,,,,,,,,0.011764705882352941,0.41320789885099435,0
US14888U1016,,3.042221422,,,,,,,,,,,,,,0.011764705882352941,0.37942096716255774,0
US03753U1060,,2.938756587,,,,,,,,,,,,,,0.011764705882352941,0.3665169992004866,0
US00653A1079,,2.771389662,,,,,,,,,,,,,,0.011764705882352941,0.34564326525880135,0
US7207951036,,2.709185108,,,,,,,,,,,,,,0.011764705882352941,0.3378852132413123,0
US3621LQ1099,,2.678821614,,,,,,,,,,,,,,0.011764705882352941,0.33409832706116677,0
US8162121045,,2.533361176,,,,,,,,,,,,,,0.011764705882352941,0.3159567349762731,0
US58549G2093,,2.498082381,,,,,,,,,,,,,,0.011764705882352941,0.3115568203538753,0
US81750R1023,,2.256234199,,,,,,,,,,,,,,0.011764705882352941,0.28139390372415135,0
US67022C1062,,2.219463858,,,,,,,,,,,,,,0.011764705882352941,0.2768079658814202,0
US48283N1063,,2.092117642,,,,,,,,,,,,,,0.011764705882352941,0.26092555045636306,0
US2530311081,,2.069856464,,,,,,,,,,,,,,0.011764705882352941,0.25814917210800964,0
US87164F1057,,2.02326829,,,,,,,,,,,,,,0.011764705882352941,0.2523387699099353,0
US21887L1070,,1.904169294,,,,,,,,,,,,,,0.011764705882352941,0.23748493451070196,0
US74366E1029,,1.845119033,,,,,,,,,,,,,,0.011764705882352941,0.23012028084749422,0
US14757U1097,,1.793175086,,,,,,,,,,,,,,0.011764705882352941,0.22364191524712843,0
NL0012661870,,1.755935437,,,,,,,,,,,,,,0.011764705882352941,0.21899744606477511,0
IL0011327454,,1.722708234,,,,,,,,,,,,,,0.011764705882352941,0.21485340269988465,0
US8051111016,,1.634797298,,,,,,,,,,,,,,0.011764705882352941,0.20388929202730993,0
IE00BYZ5XL97,,1.186770013,,,,,,,,,,,,,,0.011764705882352941,0.14801204898358686,0
US16383L1061,,1.177436379,,,,,,,,,,,,,,0.011764705882352941,0.1468479731494573,0
US6085501095,,1.115194478,,,,,,,,,,,,,,0.011764705882352941,0.1390852632741417,0
US59045L1061,,1.056127561,,,,,,,,,,,,,,0.011764705882352941,0.1317185323013787,0
US01345P1066,,1.033761126,,,,,,,,,,,,,,0.011764705882352941,0.1289290264691242,0
