ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name
US9029731554,,779.2,,,,,,,,,,,,,U.S. Bancorp
US9029737593,,601.22,,,,,,,,,,,,,U.S. Bancorp
US92339V2097,,1084.98522,,,,,,,,,,,,,"VEREIT, Inc."
US9290428443,,295.32,,,,,,,,,,,,,Vornado Realty Trust
US9290428518,,300.96,,,,,,,,,,,,,Vornado Realty Trust
US9290428286,,299.4354,,,,,,,,,,,,,Vornado Realty Trust
US93964W2070,,79.08,,,,,,,,,,,,,"Washington Prime Group, Inc."
US94988U6560,,709.32,,,,,,,,,,,,,Wells Fargo & Co.
US94988U6727,,1163.8,,,,,,,,,,,,,Wells Fargo & Co.
US9497466550,,620,,,,,,,,,,,,,Wells Fargo & Co.
US9497467475,,742.8,,,,,,,,,,,,,Wells Fargo & Co.
US9497467210,,638.82,,,,,,,,,,,,,Wells Fargo & Co.
US94988U7147,,1024,,,,,,,,,,,,,Wells Fargo & Co.
US9497465560,,1794.69,,,,,,,,,,,,,Wells Fargo & Co.
US9497463664,,817.6,,,,,,,,,,,,,Wells Fargo & Co.
US94988U7303,,1042.4,,,,,,,,,,,,,Wells Fargo & Co.
US9497464654,,927.696,,,,,,,,,,,,,Wells Fargo & Co.
US9897018597,,188.890659,,,,,,,,,,,,,Zions Bancorporation
US0200028530,,258.4,,,,,,,,,,,,,The Allstate Corp.
US0423154089,,159.225,,,,,,,,,,,,,"ARMOUR Residential REIT, Inc."
US0441037035,,140.12,,,,,,,,,,,,,"Ashford Hospitality Trust, Inc."
US0605056250,,402.1696,,,,,,,,,,,,,"Merrill Lynch & Co., Inc."
US0605055914,,340.38206,,,,,,,,,,,,,Bank of America Corp.
US16934Q3074,,149.408,,,,,,,,,,,,,Chimera Investment Corp.
US12542R2094,,359.07872,,,,,,,,,,,,,"CHS, Inc."
US19626G2075,,151.87176,,,,,,,,,,,,,"Colony Capital, Inc."
US2538688480,,213.164,,,,,,,,,,,,,"Digital Realty Trust, Inc."
US26884U5056,,145.86,,,,,,,,,,,,,EPR Properties
US33616C8111,,200.48,,,,,,,,,,,,,First Republic Bank (San Francisco)
MHY2687W1241,,109.02,,,,,,,,,,,,,GasLog Partners LP
MHY2745C1104,,138.828,,,,,,,,,,,,,Golar LNG Partners LP
MHY3262R1181,,161.1927,,,,,,,,,,,,,Höegh LNG Partners LP
US49446R7787,,221.67,,,,,,,,,,,,,Kimco Realty Corp.
US49446R7944,,401.6,,,,,,,,,,,,,Kimco Realty Corp.
US48251W3025,,165.20086,,,,,,,,,,,,,"KKR & Co., Inc."
US55272X4097,,201.28,,,,,,,,,,,,,"MFA Financial, Inc."
US6097204043,,276.99864,,,,,,,,,,,,,Monmouth Real Estate Investment Corp.
US6362208083,,149.16,,,,,,,,,,,,,National General Holdings Corp.
