ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),weight
US0441038850,302.5605,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.011627906976744186
US70509V5066,160.08,,,,,,,,,,,,REITS-Hotels,,Pebblebrook Hotel Trust,,,,,0.011627906976744186
US8660826053,153.065,,,,,,,,,,,,REITS-Hotels,,"Summit Hotel Properties, Inc.",,,,,0.011627906976744186
US6097204043,312.846,,,,,,,,,,,,REITS-Industrial,,Monmouth Real Estate Investment Corp.,,,,,0.011627906976744186
US00123Q3020,269.2875,,,,,,,,,,,,REITS-Diversified,,AGNC Investment Corp.,,,,,0.011627906976744186
US0357108705,312.444,,,,,,,,,,,,REITS-Mortgage,,"Annaly Capital Management, Inc.",,,,,0.011627906976744186
US0423154089,149.42,,,,,,,,,,,,REITS-Mortgage,,"ARMOUR Residential REIT, Inc.",,,,,0.011627906976744186
US14067E6059,149.17600000000002,,,,,,,,,,,,REITS-Mortgage,,Capstead Mortgage Corp.,,,,,0.011627906976744186
US16934Q3074,258.6,,,,,,,,,,,,REITS-Mortgage,,Chimera Investment Corp.,,,,,0.011627906976744186
US16934Q4064,291.709,,,,,,,,,,,,REITS-Mortgage,,Chimera Investment Corp.,,,,,0.011627906976744186
US46131B2097,367.63199999999995,,,,,,,,,,,,REITS-Mortgage,,"Invesco Mortgage Capital, Inc.",,,,,0.011627906976744186
US46131B5066,163.86599999999999,,,,,,,,,,,,REITS-Mortgage,,"Invesco Mortgage Capital, Inc.",,,,,0.011627906976744186
US70931T3014,215.7228,,,,,,,,,,,,REITS-Mortgage,,PennyMac Mortgage Investment Trust,,,,,0.011627906976744186
US70931T4004,290.52,,,,,,,,,,,,REITS-Mortgage,,PennyMac Mortgage Investment Trust,,,,,0.011627906976744186
US90187B2007,289.454,,,,,,,,,,,,REITS-Mortgage,,Two Harbors Investment Corp.,,,,,0.011627906976744186
