ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US0079031078,,2997493.28190847,,,,,,Pure Play,,,,,,,0.049
US2521311074,,1388828.0658246,,,,,,Pure Play,,,,,,,0.049
CH0012549785,,1223727.2511314899,,,,,,Pure Play,,,,,,,0.049
US2328061096,,811638.4832643,,,,,,Pure Play,,,,,,,0.049
US45784P1012,,702449.44221375,,,,,,Pure Play,,,,,,,0.049
DK0010272632,,636242.567194932,,,,,,Pure Play,,,,,,,0.049
IT0004056880,,273354.054195539,,,,,,Pure Play,,,,,,,0.049
AT0000A18XM4,,249298.185342012,,,,,,Pure Play,,,,,,,0.049
US4500561067,,195394.991337936,,,,,,Pure Play,,,,,,,0.049
TW0003481008,,195393.057088975,,,,,,Pure Play,,,,,,,0.049
US0906721065,,167560.113040956,,,,,,Pure Play,,,,,,,0.049
US7274931085,,127437.67921664,,,,,,Pure Play,,,,,,,0.043115541685251994
US33812L1026,,100121.935201632,,,,,,Pure Play,,,,,,,0.0338739021090899
US38268T1034,,67188.12232275,,,,,,Pure Play,,,,,,,0.0227315210585072
JP3311530004,,57259.82334588879,,,,,,Pure Play,,,,,,,0.019372514593293658
KYG898431096,,53203.7800890783,,,,,,Pure Play,,,,,,,0.01800024774732488
US34988V1061,,48447.26159832,,,,,,Pure Play,,,,,,,0.016390991579717403
US44331K1034,,22213.103692335004,,,,,,Pure Play,,,,,,,0.007515281226815065
