ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC,ROE Rank,ROE Percentile,Winzorized ROE,Debt/Equity Rank,Debt/Equity Percentile,Winzorized Debt/Equity,AISC Rank,AISC Percentile,Winzorized AISC,Z-ROE,Modified Z-ROE,Z-Debt/Equity,Modified Z-Debt/Equity,Z-AISC,Modified Z-AISC,Flag,Quality Score,Weight
CA6752221037,,,,,,,,,,,,,,,,,,7.871512847999999,11.26571775,841.5086064,12,70.27027027027027,7.871512847999999,28,27.027027027027028,11.26571775,16.0,28.57142857142857,841.5086064,0.14751947006126154,1.1475194700612614,0.6909359472161206,1.6909359472161207,0.8220919566370037,1.8220919566370037,1,1.5535157913047952,3.347969945677204
CA2506691088,,,,,,,,,,,,,,,,,,-0.050509858,12.67899913,1270.4914720000002,26,32.432432432432435,-0.050509858,27,29.72972972972973,12.67899913,2.0,95.23809523809523,1171.748571,-0.4944523196661973,0.6691414552612566,0.6576309186009176,1.6576309186009177,-1.69508037749765,0.37104644757515104,1,0.8992729404791083,1.9380162046219729
CA4509131088,,,,,,,,,,,,,,,,,,-1.020962311,14.92351607,1171.748571,29,24.324324324324326,-1.020962311,26,32.432432432432435,14.92351607,3.0,90.47619047619048,1171.748571,-0.5730942424703268,0.6356898226451064,0.6047372047433078,1.6047372047433077,-1.69508037749765,0.37104644757515104,1,0.8704911583211884,1.8759888070331712
US7802871084,,,,,,,,,,,,,,,,,,-5.1688343969999995,16.69834033,0.0,31,18.91891891891892,-5.1688343969999995,25,35.13513513513514,16.69834033,,,,-0.9092226487412679,0.5237733800504044,0.5629121488112353,1.5629121488112352,,,0,1.0433427644308197,2.2484999752853
AU000000EVN4,,,,,,,,,,,,,,,,,,11.92705958,16.86623894,0.0,9,78.37837837837837,11.92705958,24,37.83783783783784,16.86623894,,,,0.4761661668062112,1.4761661668062112,0.558955492982017,1.558955492982017,,,0,1.5175608298941141,3.270483684594631
CA68827L1013,,,,,,,,,,,,,,,,,,-5.829092608,19.91250822,0.0,32,16.216216216216218,-5.829092608,23,40.54054054054054,19.91250822,,,,-0.9627275629694094,0.5094950612947527,0.4871678879263174,1.4871678879263173,,,0,0.998331474610535,2.1514964904298868
GB00B1FW5029,,,,,,,,,,,,,,,,,,1.7415202330000001,21.83642458,0.0,23,40.54054054054054,1.7415202330000001,22,43.24324324324324,21.83642458,,,,-0.34923274539087823,0.7411619703243238,0.4418293655840381,1.4418293655840382,,,0,1.091495667954181,2.35227392769418
US2044481040,,,,,,,,,,,,,,,,,,-0.22042366300000002,24.84813028,0.0,27,29.72972972972973,-0.22042366300000002,21,45.94594594594595,24.84813028,,,,-0.5082215139166301,0.6630325789499891,0.3708562770409271,1.3708562770409272,,,0,1.0169444279954583,2.1916091232604007
CA7847301032,,,,,,,,,,,,,,,,,,0.66911944,25.41207846,0.0,24,37.83783783783784,0.66911944,20,48.64864864864865,25.41207846,,,,-0.4361361893643392,0.6963127922029587,0.3575664180374839,1.357566418037484,,,0,1.0269396051202213,2.2131496526858023
GB00B2QPKJ12,,,,,,,,,,,,,,,,,,11.35724403,26.23982343,0.0,11,72.97297297297297,11.35724403,19,51.35135135135135,26.23982343,,,,0.4299903955387316,1.4299903955387316,0.33805999114891877,1.3380599911489188,,,0,1.3840251933438252,2.9827020602625436
